0,1,term
175,A1CF,gene
103,AAAS,gene
320,AAR2,gene
376,AATF,gene
561,ABAT,gene
517,ABCA2,gene
581,ABCB6,gene
581,ABCB8,gene
581,ABCB9,gene
38,ABCC8,gene
38,ABCC9,gene
581,ABCD4,gene
168,ABCG5,gene
168,ABCG8,gene
299,ABHD12,gene
299,ABHD6,gene
0,ABI1,gene
0,ABI2,gene
473,ABI3,gene
292,ABL1,gene
605,ABT1,gene
168,ABTB1,gene
1,ACD,gene
30,ACIN1,gene
181,ACR,gene
2,ACTA1,gene
2,ACTA2,gene
2,ACTB,gene
2,ACTC1,gene
2,ACTG1,gene
2,ACTG2,gene
3,ACTL10,gene
5,ACTL6A,gene
5,ACTL6B,gene
3,ACTL7A,gene
3,ACTL7B,gene
3,ACTL8,gene
560,ACTN4,gene
245,ACTR10,gene
4,ACTR1A,gene
4,ACTR1B,gene
5,ACTR2,gene
5,ACTR3,gene
245,ACTR5,gene
245,ACTR6,gene
245,ACTR8,gene
6,ACVR1,gene
6,ACVR1B,gene
6,ACVR1C,gene
6,ACVR2A,gene
6,ACVR2B,gene
6,ACVRL1,gene
268,ADAM10,gene
268,ADAM8,gene
448,ADAR,gene
7,ADCYAP1R1,gene
8,ADD1,gene
8,ADD2,gene
593,ADGRA2,gene
62,ADIPOQ,gene
617,ADNP,gene
271,ADRA2A,gene
246,ADRB2,gene
221,ADRB3,gene
527,ADRM1,gene
248,ADSL,gene
524,AEBP2,gene
49,AFDN,gene
9,AFF1,gene
9,AFF3,gene
9,AFF4,gene
453,AFG3L2,gene
654,AFTPH,gene
171,AGFG1,gene
299,AGK,gene
10,AGL,gene
170,AGO1,gene
170,AGO2,gene
170,AGO3,gene
170,AGO4,gene
388,AHCTF1,gene
148,AHI1,gene
129,AHNAK,gene
379,AHR,gene
379,AHRR,gene
331,AHSP,gene
358,AICDA,gene
586,AIM2,gene
179,AIMP1,gene
481,AIMP2,gene
362,AIP,gene
270,AJUBA,gene
49,AKAP10,gene
630,AKAP17A,gene
155,AKAP4,gene
117,AKAP5,gene
639,AKAP6,gene
131,AKAP7,gene
129,AKAP8L,gene
395,AKAP9,gene
11,AKIRIN2,gene
446,AKT1,gene
446,AKT2,gene
321,AKTIP,gene
143,ALB,gene
299,ALG14,gene
64,ALK,gene
253,ALS2,gene
11,ALX4,gene
129,ALYREF,gene
138,AMBRA1,gene
23,AMFR,gene
485,AMHR2,gene
134,AMN,gene
299,AMN1,gene
319,ANAPC1,gene
299,ANAPC10,gene
70,ANAPC11,gene
331,ANAPC13,gene
434,ANAPC15,gene
218,ANAPC16,gene
176,ANAPC2,gene
481,ANAPC4,gene
619,ANAPC5,gene
619,ANAPC7,gene
304,ANG,gene
23,ANKIB1,gene
311,ANKRA2,gene
27,ANKRD1,gene
27,ANKRD39,gene
12,ANKRD9,gene
13,ANO1,gene
13,ANO2,gene
13,ANO6,gene
59,ANP32E,gene
426,ANXA2,gene
123,AP1B1,gene
123,AP1G1,gene
123,AP1G2,gene
14,AP1M1,gene
14,AP1M2,gene
15,AP1S1,gene
15,AP1S2,gene
15,AP1S3,gene
123,AP2A1,gene
123,AP2A2,gene
123,AP2B1,gene
14,AP2M1,gene
15,AP2S1,gene
16,AP3B1,gene
16,AP3B2,gene
16,AP3D1,gene
14,AP3M1,gene
14,AP3M2,gene
15,AP3S1,gene
15,AP3S2,gene
123,AP4B1,gene
123,AP4E1,gene
14,AP4M1,gene
15,AP4S1,gene
264,AP5B1,gene
17,AP5M1,gene
349,AP5S1,gene
620,AP5Z1,gene
18,APAF1,gene
639,APBB1IP,gene
421,APC,gene
421,APC2,gene
123,APEX1,gene
19,APH1A,gene
19,APH1B,gene
123,API5,gene
20,APOA1,gene
20,APOA2,gene
20,APOA4,gene
20,APOA5,gene
143,APOB,gene
358,APOBEC1,gene
358,APOBEC3F,gene
358,APOBEC3G,gene
540,APOBR,gene
20,APOC1,gene
20,APOC2,gene
20,APOC3,gene
20,APOC4,gene
20,APOE,gene
155,APOF,gene
102,APOH,gene
586,APOL1,gene
134,APOM,gene
125,APOO,gene
125,APOOL,gene
206,APP,gene
196,APPBP2,gene
274,AQP4,gene
626,AQR,gene
385,AR,gene
14,ARCN1,gene
462,ARF1,gene
567,ARFGEF1,gene
49,ARHGAP29,gene
473,ARHGAP33,gene
49,ARHGEF2,gene
49,ARHGEF7,gene
48,ARID1A,gene
48,ARID1B,gene
21,ARID2,gene
22,ARID4A,gene
22,ARID4B,gene
11,ARID5A,gene
23,ARIH1,gene
23,ARIH2,gene
513,ARL6,gene
261,ARL6IP1,gene
299,ARMC8,gene
24,ARNT,gene
24,ARNT2,gene
24,ARNTL,gene
379,ARNTL2,gene
25,ARPC1A,gene
25,ARPC1B,gene
331,ARPC2,gene
331,ARPC3,gene
331,ARPC4,gene
26,ARPC5,gene
26,ARPC5L,gene
421,ARVCF,gene
27,ASB1,gene
27,ASB12,gene
27,ASB2,gene
27,ASB4,gene
27,ASB6,gene
253,ASCC1,gene
627,ASCC2,gene
28,ASCC3,gene
29,ASCL1,gene
583,ASCL2,gene
583,ASCL4,gene
583,ASCL5,gene
439,ASF1A,gene
439,ASF1B,gene
59,ASH2L,gene
30,ASXL1,gene
30,ASXL2,gene
33,ASXL3,gene
58,ATAD5,gene
556,ATF1,gene
200,ATF2,gene
31,ATF3,gene
375,ATF4,gene
32,ATF5,gene
375,ATF6,gene
375,ATF6B,gene
200,ATF7,gene
33,ATF7IP,gene
33,ATF7IP2,gene
307,ATG101,gene
405,ATG12,gene
319,ATG13,gene
34,ATG14,gene
450,ATG16L1,gene
35,ATG16L2,gene
157,ATG3,gene
36,ATG5,gene
263,ATM,gene
37,ATP10A,gene
37,ATP10B,gene
37,ATP10D,gene
38,ATP11A,gene
38,ATP11B,gene
38,ATP11C,gene
39,ATP12A,gene
39,ATP1A1,gene
39,ATP1A2,gene
39,ATP1A3,gene
39,ATP1A4,gene
40,ATP1B1,gene
40,ATP1B2,gene
40,ATP1B3,gene
40,ATP1B4,gene
593,ATP23,gene
39,ATP2A1,gene
39,ATP2B4,gene
40,ATP4B,gene
470,ATP6AP1,gene
470,ATP6AP1L,gene
470,ATP6AP2,gene
41,ATP6V0A1,gene
41,ATP6V0A2,gene
41,ATP6V0A4,gene
532,ATP6V0B,gene
532,ATP6V0C,gene
454,ATP6V0D1,gene
454,ATP6V0D2,gene
398,ATP6V0E1,gene
398,ATP6V0E2,gene
315,ATP6V1A,gene
315,ATP6V1B1,gene
315,ATP6V1B2,gene
119,ATP6V1C1,gene
119,ATP6V1C2,gene
605,ATP6V1D,gene
42,ATP6V1E1,gene
42,ATP6V1E2,gene
501,ATP6V1F,gene
42,ATP6V1G1,gene
42,ATP6V1G2,gene
42,ATP6V1G3,gene
649,ATP6V1H,gene
38,ATP8A1,gene
38,ATP8A2,gene
38,ATP8B1,gene
38,ATP8B2,gene
37,ATP8B3,gene
38,ATP8B4,gene
263,ATR,gene
389,ATRIP,gene
524,ATXN2,gene
30,ATXN7,gene
639,ATXN7L3,gene
642,AUP1,gene
43,AURKA,gene
339,AURKAIP1,gene
43,AURKB,gene
43,AURKC,gene
49,AXIN1,gene
49,AXIN2,gene
170,AXL,gene
118,AZI2,gene
238,B2M,gene
221,B3GALT4,gene
299,B4GALT1,gene
419,B9D1,gene
419,B9D2,gene
265,BABAM1,gene
375,BACH1,gene
375,BACH2,gene
44,BAD,gene
233,BAG2,gene
321,BAG3,gene
457,BAG5,gene
46,BAG6,gene
540,BAHD1,gene
49,BAIAP2L2,gene
46,BAK1,gene
49,BAP1,gene
49,BARD1,gene
11,BARX2,gene
31,BATF,gene
201,BATF2,gene
31,BATF3,gene
46,BAX,gene
157,BAZ1A,gene
157,BAZ1B,gene
30,BAZ2A,gene
331,BBIP1,gene
45,BBS1,gene
45,BBS2,gene
93,BBS4,gene
124,BBS5,gene
45,BBS7,gene
45,BBS9,gene
457,BCAS2,gene
54,BCAS4,gene
320,BCCIP,gene
408,BCKDHA,gene
